"","CA","Year","DelayedBedDays"
"1","S12000005","2012/13",3578
"2","S12000005","2013/14",3676
"3","S12000005","2014/15",4098
"4","S12000005","2015/16",4430
"5","S12000005","2016/17",5036
"6","S12000005","2017/18",3058
"7","S12000005","2018/19",5446
"8","S12000005","2019/20",2678
"9","S12000005","2020/21",5228
"10","S12000005","2021/22",6560
"11","S12000005","2022/23",616
"12","S12000006","2012/13",6066
"13","S12000006","2013/14",11676
"14","S12000006","2014/15",16582
"15","S12000006","2015/16",14642
"16","S12000006","2016/17",19438
"17","S12000006","2017/18",18562
"18","S12000006","2018/19",20702
"19","S12000006","2019/20",27584
"20","S12000006","2020/21",9174
"21","S12000006","2021/22",28470
"22","S12000006","2022/23",3752
"23","S12000008","2012/13",12364
"24","S12000008","2013/14",11548
"25","S12000008","2014/15",14214
"26","S12000008","2015/16",9072
"27","S12000008","2016/17",9344
"28","S12000008","2017/18",6900
"29","S12000008","2018/19",8026
"30","S12000008","2019/20",5134
"31","S12000008","2020/21",4270
"32","S12000008","2021/22",8682
"33","S12000008","2022/23",930
"34","S12000010","2012/13",21658
"35","S12000010","2013/14",26518
"36","S12000010","2014/15",31736
"37","S12000010","2015/16",23420
"38","S12000010","2016/17",21112
"39","S12000010","2017/18",14462
"40","S12000010","2018/19",12092
"41","S12000010","2019/20",6454
"42","S12000010","2020/21",5178
"43","S12000010","2021/22",3188
"44","S12000010","2022/23",608
"45","S12000011","2012/13",10682
"46","S12000011","2013/14",5676
"47","S12000011","2014/15",6280
"48","S12000011","2015/16",3604
"49","S12000011","2016/17",4022
"50","S12000011","2017/18",2098
"51","S12000011","2018/19",3064
"52","S12000011","2019/20",2870
"53","S12000011","2020/21",3518
"54","S12000011","2021/22",6442
"55","S12000011","2022/23",474
"56","S12000013","2012/13",3534
"57","S12000013","2013/14",9162
"58","S12000013","2014/15",15122
"59","S12000013","2015/16",15192
"60","S12000013","2016/17",13394
"61","S12000013","2017/18",9598
"62","S12000013","2018/19",11438
"63","S12000013","2019/20",9754
"64","S12000013","2020/21",4932
"65","S12000013","2021/22",8396
"66","S12000013","2022/23",530
"67","S12000014","2012/13",27168
"68","S12000014","2013/14",19062
"69","S12000014","2014/15",23042
"70","S12000014","2015/16",21454
"71","S12000014","2016/17",25678
"72","S12000014","2017/18",23126
"73","S12000014","2018/19",30524
"74","S12000014","2019/20",27048
"75","S12000014","2020/21",18250
"76","S12000014","2021/22",29660
"77","S12000014","2022/23",2908
"78","S12000017","2012/13",36584
"79","S12000017","2013/14",44568
"80","S12000017","2014/15",60456
"81","S12000017","2015/16",67072
