"","Year","Council","ClaimantsAsPropOf16_65Pop","ClaimantCountAged16_24AtMarch","Population16_24","Proportion16_24AreClaimants"
"1","2009/10","Aberdeen City",2.3,995,33325,3
"2","2009/10","Aberdeenshire",1.5,775,24798,3.1
"3","2009/10","Angus",3.1,690,11272,6.1
"4","2009/10","Argyll and Bute",3.4,550,8754,6.3
"5","2009/10","Clackmannanshire",5,515,5468,9.4
"6","2009/10","Dumfries and Galloway",3.5,1090,14236,7.7
"7","2009/10","Dundee City",5.3,1520,23251,6.5
"8","2009/10","East Ayrshire",5.7,1470,13682,10.7
"9","2009/10","East Dunbartonshire",3,575,11339,5.1
"10","2009/10","East Lothian",3.2,685,10304,6.6
"11","2009/10","East Renfrewshire",2.6,410,9655,4.2
"12","2009/10","City of Edinburgh",3.5,3255,67555,4.8
"13","2009/10","Na h-Eileanan Siar",3.5,105,2432,4.3
"14","2009/10","Falkirk",4.2,1300,16386,7.9
"15","2009/10","Fife",4.5,3095,41568,7.4
"16","2009/10","Glasgow City",6.1,6955,86814,8
"17","2009/10","Highland",3,1175,21861,5.4
"18","2009/10","Inverclyde",4.9,810,9314,8.7
"19","2009/10","Midlothian",4.1,805,8693,9.3
"20","2009/10","Moray",2.8,540,9853,5.5
"21","2009/10","North Ayrshire",6.5,1810,14850,12.2
"22","2009/10","North Lanarkshire",5.5,3825,38525,9.9
"23","2009/10","Orkney Islands",1.5,60,2062,2.9
"24","2009/10","Perth and Kinross",2.4,615,13850,4.4
"25","2009/10","Renfrewshire",4.6,1610,19359,8.3
"26","2009/10","Scottish Borders",3.1,695,10355,6.7
"27","2009/10","Shetland Islands",1.5,55,2387,2.3
"28","2009/10","South Ayrshire",4.4,965,11243,8.6
"29","2009/10","South Lanarkshire",4.8,2985,33282,9
"30","2009/10","Stirling",3.4,595,11811,5
"31","2009/10","West Dunbartonshire",5.9,1055,10758,9.8
"32","2009/10","West Lothian",4.5,1755,18982,9.2
"33","2010/11","Aberdeen City",2.3,990,34267,2.9
"34","2010/11","Aberdeenshire",1.6,840,25203,3.3
"35","2010/11","Angus",3.2,725,11503,6.3
"36","2010/11","Argyll and Bute",3.6,525,8587,6.1
"37","2010/11","Clackmannanshire",5.6,575,5449,10.6
"38","2010/11","Dumfries and Galloway",3.4,1065,14382,7.4
"39","2010/11","Dundee City",5.6,1620,23479,6.9
"40","2010/11","East Ayrshire",5.7,1445,13728,10.5
"41","2010/11","East Dunbartonshire",2.9,575,11447,5
"42","2010/11","East Lothian",3.2,695,10452,6.6
"43","2010/11","East Renfrewshire",2.6,445,9854,4.5
"44","2010/11","City of Edinburgh",3.3,2875,69455,4.1
"45","2010/11","Na h-Eileanan Siar",3.1,100,2498,4
"46","2010/11","Falkirk",4.7,1455,16198,9
"47","2010/11","Fife",4.6,3325,41701,8
"48","2010/11","Glasgow City",6.2,6660,87582,7.6
"49","2010/11","Highland",3.1,1255,22101,5.7
"50","2010/11","Inverclyde",5.1,760,9220,8.2
"51","2010/11","Midlothian",4,775,8763,8.8
"52","2010/11","Moray",2.8,590,9828,6
"53","2010/11","North Ayrshire",6.3,1595,14879,10.7
"54","2010/11","North Lanarkshire",5.3,3500,38229,9.2
"55","2010/11","Orkney Islands",1.7,55,2109,2.6
